0x100113d8: ret;
0x1008b143: rep ret;
0x101532b0: mov eax, [eax+0x1016D5FC]; ret;
0x100243f0: mov eax, [ecx+0x000003A0]; ret;
0x100711f0: mov eax, [ecx+0x00000390]; ret;
0x100699c0: lea eax, [ecx+0x00001254]; ret;
0x10023750: mov eax, [ecx+0x00000314]; ret;
0x10098f90: lea eax, [ecx+0x00000288]; ret;
0x10028190: mov eax, [ecx+0x0000042C]; ret;
0x100e2440: mov eax, [ecx+0x000012B0]; ret;
0x10133401: xor [ebp-0x74988B0A], eax; ret;
0x10106170: lea eax, [ecx+0x000000D4]; ret;
0x10154f0e: mov eax, [eax+0x101722B8]; ret;
0x10099a30: lea eax, [ecx+0x00000554]; ret;
0x10072c96: mov edx, [ecx+0x000014EC]; ret;
0x1013f939: rcl [ebx], cl; adc cl, ah; ret;
0x10041d3f: nop; inc [ecx+0x00001984]; ret;
0x10045e70: lea eax, [ecx+0x00000538]; ret;
0x10040660: mov eax, [ecx+0x00000164]; ret;
0x100e2370: mov eax, [ecx+0x000012CC]; ret;
0x10046190: mov eax, [ecx+0x00000344]; ret;
0x10027756: mov edx, [ecx+0x00000444]; ret;
0x10060840: mov eax, [ecx+0x000000C8]; ret;
0x100e2480: mov eax, [ecx+0x000012C0]; ret;
0x100609c0: mov eax, [ecx+0x000001D4]; ret;
0x10026a70: lea eax, [ecx+0x00005980]; ret;
0x10099970: lea eax, [ecx+0x00000248]; ret;
0x100710f0: mov eax, [ecx+0x000017E0]; ret;
0x1001c872: test al, 0x13; add dh, dh; ret;
0x10023710: mov eax, [ecx+0x0000030C]; ret;
0x10076966: mov edx, [ecx+0x0000126C]; ret;
0x10041d90: mov eax, [ecx+0x00001990]; ret;
0x1010abd0: lea eax, [ecx+0x00001528]; ret;
0x1004c620: lea eax, [ecx+0x000001D8]; ret;
0x10041e60: mov eax, [ecx+0x00002E70]; ret;
0x100260af: adc [ebx], dl; add dh, dh; ret;
0x10099920: lea eax, [ecx+0x00000142]; ret;
0x100e90f0: lea eax, [ecx+0x0000599C]; ret;
0x10029410: mov eax, [ecx+0x00003508]; ret;
0x100293ff: nop; inc [ecx+0x00003504]; ret;
0x10060850: lea eax, [ecx+0x000000CC]; ret;
0x10041d30: mov eax, [ecx+0x00001984]; ret;
0x100711a0: lea eax, [ecx+0x00000350]; ret;
0x10041d1f: nop; inc [ecx+0x00001980]; ret;
0x10069a20: mov eax, [ecx+0x000012B8]; ret;
0x100988f0: lea eax, [ecx+0x0000031C]; ret;
0x10029466: mov edx, [ecx+0x00003514]; ret;
0x10030756: mov edx, [ecx+0x00001274]; ret;
0x10040f96: mov edx, [ecx+0x00000304]; ret;
0x10029310: mov eax, [ecx+0x00003518]; ret;
0x100988e0: lea eax, [ecx+0x00000218]; ret;
0x1015fc83: lea edx, [eax-0x16000002]; ret;
0x100bb4e0: lea eax, [ecx+0x00000084]; ret;
0x10014c30: mov eax, [ecx+0x00000170]; ret;
0x10154e7e: mov eax, [eax+0x101722B4]; ret;
0x10026110: mov eax, [ecx+0x0000023C]; ret;
0x10071dc0: mov eax, [ecx+0x00000154]; ret;
0x10164e6c: stc; dec [ebx-0x2516F7B3]; ret;
0x10076990: mov eax, [ecx+0x00001274]; ret;
0x100f4223: add [edx-0x18], edx; salc; ret;
0x100713a0: mov eax, [ecx+0x000017D0]; ret;
0x100769b0: mov eax, [ecx+0x00001254]; ret;
0x100286c0: lea eax, [ecx+0x000000E0]; ret;
0x100bc050: mov eax, [ecx+0x00000278]; ret;
0x100286f0: lea eax, [ecx+0x00000160]; ret;
0x10014cc0: mov eax, [ecx+0x00000180]; ret;
0x1011fdb0: lea eax, [ecx+0x00000110]; ret;
0x1002b465: add [eax], al; add al, ch; ret;
0x1010ab80: lea eax, [ecx+0x00001218]; ret;
0x10158fd0: pop esi; pop ebx; not eax; ret;
0x10076840: lea eax, [ecx+0x0000128C]; ret;
0x100295d0: mov eax, [ecx+0x000034F4]; ret;
0x10014caf: nop; inc [ecx+0x0000017C]; ret;
0x100bbbd5: and al, 0x20; or al, 0xE8; ret;
0x1004c530: mov eax, [ecx+0x00000190]; ret;
0x10060830: mov eax, [ecx+0x000000C4]; ret;
0x10067ce0: lea eax, [ecx+0x000000D0]; ret;
0x10014ad0: lea eax, [ecx+0x00000150]; ret;
0x10071210: lea eax, [ecx+0x00000398]; ret;
0x100767f0: mov eax, [ecx+0x000012D0]; ret;
0x10041e10: lea eax, [ecx+0x00000368]; ret;
0x10045aa0: mov eax, [ecx+0x00000340]; ret;
0x100285f6: mov edx, [ecx+0x00001994]; ret;
0x100461e9: mov [ecx+0x00000358], edx; ret;
0x1009aee4: add [ecx-0x18], dl; popad; ret;
0x10024350: mov eax, [ecx+0x000015DC]; ret;
0x100f425b: add [edx-0x18], edx; sahf; ret;
0x10071450: lea eax, [ecx+0x00001804]; ret;
0x1013fcf6: add ecx, [ebx-0x09871427]; ret;
0x10040676: mov edx, [ecx+0x0000016C]; ret;
0x10025f10: lea eax, [ecx+0x00001010]; ret;
0x1014ca1f: pop ebp; sete al; pop ebx; ret;
0x10041040: mov eax, [ecx+0x00001B00]; ret;
0x100292d0: lea eax, [ecx+0x00003558]; ret;
0x10099010: lea eax, [ecx+0x00000340]; ret;
0x100940c0: mov eax, [ecx+0x00003054]; ret;
0x100999a0: lea eax, [ecx+0x0000034C]; ret;
0x100461a0: mov eax, [ecx+0x00000348]; ret;
0x10024550: lea eax, [ecx+0x00000360]; ret;
0x100999d0: lea eax, [ecx+0x00000658]; ret;
0x100609a0: lea eax, [ecx+0x00001820]; ret;
0x1006c5b0: mov eax, [ecx+0x00001098]; ret;
0x1011fe20: lea eax, [ecx+0x00000732]; ret;
0x10098f80: lea eax, [ecx+0x0000010C]; ret;
0x10028670: mov eax, [ecx+0x000019AC]; ret;
0x10045e40: lea eax, [ecx+0x00000434]; ret;
0x10028170: mov eax, [ecx+0x00000438]; ret;
0x100bb550: lea eax, [ecx+0x00004D98]; ret;
0x100699e0: lea eax, [ecx+0x00001230]; ret;
0x10067d40: mov eax, [ecx+0x0000008C]; ret;
0x100e23e0: mov eax, [ecx+0x000012AC]; ret;
0x10076820: mov eax, [ecx+0x00001288]; ret;
0x10045b10: lea eax, [ecx+0x0000023C]; ret;
0x1011ff90: lea eax, [ecx+0x0000062E]; ret;
0x10071380: mov eax, [ecx+0x000017D4]; ret;
0x10041c90: lea eax, [ecx+0x000019FC]; ret;
0x10041e80: lea eax, [ecx+0x00000674]; ret;
0x1008dcd0: mov eax, [ecx+0x00000198]; ret;
0x10014c80: mov eax, [ecx+0x00000178]; ret;
0x10040ff0: lea eax, [ecx+0x0000040C]; ret;
0x10025bd0: lea eax, [ecx+0x00000274]; ret;
0x100710d0: mov eax, [ecx+0x000017DC]; ret;
0x10028620: mov eax, [ecx+0x000019A0]; ret;
0x10014c50: mov eax, [ecx+0x00000174]; ret;
0x10041ee0: lea eax, [ecx+0x00001778]; ret;
0x10072ec0: lea eax, [ecx+0x000016F0]; ret;
0x10069990: lea eax, [ecx+0x00001128]; ret;
0x10060970: fld qword [ecx+0x000000A0]; ret;
0x1012c65f: mov [eax+0x0C], 0x1012C880; ret;
0x1006b2c8: rol [ebx-0x24CC0028], 0x3B; ret;
0x100c0c35: add [eax], al; or al, 0xE8; ret;
0x10036c47: inc esi; or [edx+0x3B], al; ret;
0x10094de9: mov [eax+0x04], 0x00000001; ret;
0x101533f4: mov al, [0x101704F8+eax*4]; ret;
0x10152e97: add al, 0x66; xor eax, eax; ret;
0x10141321: ror [ebx-0x3B7CA43F], 0x08; ret;
0x10123427: inc eax; or [ecx+0x3B], al; ret;
0x100fb8e6: or al, 0x01; add [eax], al; ret;
0x1011446f: or al, 0x02; add [eax], al; ret;
0x100271cf: nop; mov [ecx], 0x10168C70; ret;
0x100b516b: sal [ebp+0x33], 0xFFFFFF8B; ret;
0x1007cb45: add [eax], eax; add al, ch; ret;
0x1012b8da: or [edi+0x5E], bl; pop ebx; ret;
0x100607ff: xchg [eax], al; add dh, dh; ret;
0x101304f4: mov [eax+0x0000019C], 0x01; ret;
0x100f4204: sbb [ecx-0x17AEEFE3], 0x12; ret;
0x1005b7e3: sub al, 0x8B; ror [ebx], 1; ret;
0x10128f52: or [ebx+0x5F], bl; pop ebp; ret;
0x101383e2: or [edi+0x5D], bl; pop ebx; ret;
0x1013acf4: mov [eax+0x1C], 0x00000000; ret;
0x10072c22: in al, 0x14; add [eax], al; ret;
0x10060980: fld qword [ecx+0x000000A8]; ret;
0x10034ee9: rol [ecx+0x002000C4], 0x00; ret;
0x1010f5b6: sal [ebp+0x37], 0xFFFFFF8B; ret;
0x10014a9c: sbb eax, [eax]; add dh, dh; ret;
0x1002ebdf: mov edx, [edx]; add dh, dh; ret;
0x1001d254: sal [ebp+0x2F], 0xFFFFFF8B; ret;
0x10060822: in al, 0x04; add [eax], al; ret;
0x10073812: cmp [esi], ecx; add dh, dh; ret;
0x1005d62e: rol [ecx+0x001004C4], 0x00; ret;
0x10025d92: adc edx, [ebx]; add dh, dh; ret;
0x10136829: mov [ebp+0x5FF275F6], 0x5E; ret;
0x1004063f: nop; mov [ecx], 0x10168EF8; ret;
0x10072e92: hlt; pop ss; add [eax], al; ret;
0x1014e2b1: or [esi+0x5D], bl; pop ebx; ret;
0x100121c9: cmp eax, ebx; xor eax, eax; ret;
0x10040b41: mul [ebp+0x11]; add dh, dh; ret;
0x10135bf7: shl ecx, 0x10; or eax, ecx; ret;
0x10013f18: mov [eax+0x04], 0x00000000; ret;
0x1015e8d5: add [eax], eax; add cl, ch; ret;
0x100781ea: fcos; inc [ebp+0x5E0275C0]; ret;
0x1013ac57: rol [ebx+0x33C3FFCA], 0xD2; ret;
0x10132f4d: rol [ecx+0x00022CC4], 0x00; ret;
0x10071362: in al, 0x17; add [eax], al; ret;
0x100cfe6f: add [edi], ebx; adc al, ch; ret;
0x101533b4: lock xor eax, eax; pop esi; ret;
0x101585a9: inc ebp; or [esi-0x75], bl; ret;
0x1013c6f5: test [eax-0x7CFFFFD3], edx; ret;
0x100293b0: fld qword [ecx+0x00003530]; ret;
0x1001470f: adc eax, [eax]; add dh, dh; ret;
0x101554ff: add [edx+eax*2+0x17], 0x10; ret;
0x10152c2a: cmp al, 0xC3; xor eax, eax; ret;
0x1014c9c6: shr edx, 0x08; or eax, edx; ret;
0x100e1adf: nop; mov [ecx], 0x10169F84; ret;
0x100243c2: in al, 0x26; add [eax], al; ret;
0x100f41c1: sbb [ecx-0x17AFEFE3], 0x55; ret;
0x1006c9b2: cmpsd; push cs; add dh, dh; ret;
0x10023712: or al, 0x03; add [eax], al; ret;
0x100344cb: ror [ecx+0x0F102444], 0x85; ret;
0x1013795a: and [esi-0x3B7C0001], 0x10; ret;
0x10111ec2: inc eax; or [ebp+0x3B], al; ret;
0x1008d989: test [eax+0x3B000001], eax; ret;
0x100bc50f: add [ecx], eax; add dh, dh; ret;
0x10028640: fld qword [ecx+0x00001998]; ret;
0x10150eb4: add al, 0x5E; mov eax, edx; ret;
0x1012ca6a: mov [eax+0x0C], 0x1012CE60; ret;
0x1005d995: and al, 0x28; sbb eax, ebp; ret;
0x1005f9e9: rol [ecx+0x000108C4], 0x00; ret;
0x10132cc8: dec ebx; or [ebp+0x5B], bl; ret;
0x10072cf8: or al, 0x15; add [eax], al; ret;
0x10053644: sbb al, 0x74; or [ebx], bh; ret;
0x10040690: fld qword [ecx+0x00000178]; ret;
0x100e989f: add [eax], eax; add dh, dh; ret;
0x1002a84f: test [ecx], al; add dh, dh; ret;
0x10076e12: add ecx, [esi]; add dh, dh; ret;
0x101390b1: or al, 0x5E; add esp, 0x40; ret;
0x10134a4f: mov [eax+0x04], 0x00000FF0; ret;
0x100122b3: xor eax, eax; xor edx, edx; ret;
0x1002b0ad: cmpsd; sbb eax, 0xE8CF8B10; ret;
0x10026012: adc [ebx], edx; add dh, dh; ret;
0x10040b5f: bound edi, [ebp]; push esi; ret;
0x1012cf5a: mov [eax+0x0C], 0x1012BA90; ret;
0x1004c5b0: fld qword [ecx+0x000001A8]; ret;
0x100292e2: in al, 0x7B; add [eax], al; ret;
0x10040ff2: or al, 0x04; add [eax], al; ret;
0x10040c3c: and [edi], eax; add dh, dh; ret;
0x100945e1: or al, 0x00; add esp, 0x0C; ret;
0x1011e7e2: mov [ebx], eax; add dh, dh; ret;
0x10045cef: sbb edx, [ecx]; add dh, dh; ret;
0x100245b2: in al, 0x16; add [eax], al; ret;
0x100545ff: sub edx, [eax]; add dh, dh; ret;
0x1005b49e: add [eax-0x18], dl; pop ss; ret;
0x1010d081: pop ds; adc [edx-0x18], dl; ret;
0x1007239f: sub eax, [ecx]; add dh, dh; ret;
0x100264a0: fld qword [ecx+0x00000248]; ret;
0x10016d6f: nop; mov [ecx], 0x10168698; ret;
0x100269bb: rol [edx], 0x0E; add dh, dh; ret;
0x1009fd15: push ds; adc [edi-0x18], dl; ret;
0x100bd1e9: add al, 0x20; add [eax], al; ret;
0x10014762: sub al, 0x01; add [eax], al; ret;
0x100fb835: add al, 0x01; add [eax], al; ret;
0x100babb2: or [edx], al; add [eax], al; ret;
0x1012ef57: add esp, 0x10; xor eax, eax; ret;
0x1001c563: pushfd; sbb eax, 0xE8535710; ret;
0x10041cf2: sbb al, 0x1A; add [eax], al; ret;
0x1004d4ce: add esp, 0x08; xor eax, eax; ret;
0x1007108f: pushad; push cs; add dh, dh; ret;
0x10040652: xor al, 0x01; add [eax], al; ret;
0x10028182: cmp al, 0x04; add [eax], al; ret;
0x100bb571: or [eax], al; add [eax], al; ret;
0x10109f02: mov ah, 0x00; add [eax], al; ret;
0x10105220: inc esi; cmp [edi+0x3B], dl; ret;
0x10121349: or [ecx], al; add [eax], al; ret;
0x1004c502: adc al, 0x02; add [eax], al; ret;
0x10051dae: add al, 0x02; add [eax], al; ret;
0x1008b9c6: add [edi+0x5E], bl; pop ebx; ret;
0x100b23da: adc [edi+0x5E], bl; pop ebx; ret;
0x10069a12: mov ah, 0x12; add [eax], al; ret;
0x100b02c7: and al, 0x01; add [eax], al; ret;
0x10026438: xor al, 0x02; add [eax], al; ret;
0x1011a403: sbb al, 0x01; add [eax], al; ret;
0x1006a292: sub al, 0x05; add [eax], al; ret;
0x1004a68c: rcl [eax], 1; add [ebx], bh; ret;
0x10132023: xor [edi+0x5E], bl; pop ebx; ret;
0x101264e8: add al, 0x00; add [eax], al; ret;
0x10067ce2: rol [eax], 1; add [eax], al; ret;
0x1015eec5: insd; cmp bh, 0xFF; pop ecx; ret;
0x100f38ae: and al, 0xEB; sub bh, [ebx]; ret;
0x101533bd: mov eax, [0x101704F4+eax*4]; ret;
0x1010e0ef: or [ecx], ah; add [eax], al; ret;
0x1001bbe1: or eax, 0xFFFFFFFF; pop esi; ret;
0x10029358: and al, 0x35; add [eax], al; ret;
0x10094619: sal bh, 0xD8; add esp, 0x14; ret;
0x10153245: mov eax, [0x1016D5CC+eax*8]; ret;
0x100122bb: add [eax], al; xor eax, eax; ret;
0x1014c128: or eax, 0xFFFFFFFF; pop ebx; ret;
0x100f3a69: dec ebp; sbb [ebx-0x75], al; ret;
0x1013442c: xor eax, eax; add esp, 0x24; ret;
0x10107b42: or al, 0x75; adc [ebx], edi; ret;
0x10137d7f: xor al, 0x5E; add esp, 0x18; ret;
0x10045e42: xor al, 0x04; add [eax], al; ret;
0x10026112: cmp al, 0x02; add [eax], al; ret;
0x10072ec2: lock push ss; add [eax], al; ret;
0x100ba381: push ds; adc [esi-0x18], dl; ret;
0x10132f50: sub al, 0x02; add [eax], al; ret;
0x10137dc6: add esp, 0x14; xor eax, eax; ret;
0x1009726f: pushad; push ds; adc al, ch; ret;
0x10026a82: mov al, 0x59; add [eax], al; ret;
0x10126e7f: lea eax, [0x00000186+eax*4]; ret;
0x1006c5f2: adc al, 0x10; add [eax], al; ret;
0x1006a2b8: xor al, 0x05; add [eax], al; ret;
0x1015aab7: mov ah, 0x16; add [eax], al; ret;
0x1010abb2: and al, 0x15; add [eax], al; ret;
0x10072c62: add al, 0x15; add [eax], al; ret;
0x1012ca6d: pushad; into; adc dl, [eax]; ret;
0x10125d4e: xor al, 0x5E; add esp, 0x20; ret;
0x10073cc3: add al, 0x10; add [eax], al; ret;
0x10154080: xor al, 0x89; and [eax], dl; ret;
0x100988d2: adc al, 0x01; add [eax], al; ret;
0x1013b810: ror [ebx], 1; and [eax], dl; ret;
0x10023752: adc al, 0x03; add [eax], al; ret;
0x10071452: add al, 0x18; add [eax], al; ret;
0x100646a9: and al, 0x21; add [eax], al; ret;
0x1001c60f: add esp, 0x0C; xor eax, eax; ret;
0x10154f65: mov eax, [0x10172378+eax*4]; ret;
0x100985e0: mov al, 0x2F; add [eax], al; ret;
0x100713a2: rcl [edi], 1; add [eax], al; ret;
0x100e2442: mov al, 0x12; add [eax], al; ret;
0x1001213c: adc al, 0x00; add [eax], al; ret;
0x10025516: xor eax, eax; add esp, 0x08; ret;
0x1006afbb: adc [edx-0x18], dl; dec esp; ret;
0x1013c4bf: les ecx, [0x836275C0+eax*4]; ret;
0x1008419b: shr [ebx], 1; stc; push esi; ret;
0x10150b09: imul eax, [eax], 0x08C48300; ret;
0x10040e52: cmp al, 0x06; add [eax], al; ret;
0x100e2902: dec eax; pop es; add dh, dh; ret;
0x10029332: sbb al, 0x35; add [eax], al; ret;
0x10130570: mov bl, 0x01; add [eax], al; ret;
0x100244a2: mov al, 0x13; add [eax], al; ret;
0x100293e2: add al, 0x35; add [eax], al; ret;
0x100236f2: or [ebx], al; add [eax], al; ret;
0x100129a4: adc al, 0x00; add esp, 0x1C; ret;
0x1011ffc8: cmp al, 0x08; add [eax], al; ret;
0x1001f4a6: das; add [eax], al; pop esi; ret;
0x10121fa1: add [ecx+0x68], dl; pop esp; ret;
0x1002ea28: and al, 0x11; add [eax], al; ret;
0x1010abe2: sub al, 0x16; add [eax], al; ret;
0x10135b9e: rep stosb; pop edi; pop esi; ret;
0x1005af05: adc [eax-0x18], dl; inc eax; ret;
0x1006a342: sbb al, 0x02; add [eax], al; ret;
0x10040f98: add al, 0x03; add [eax], al; ret;
0x100458c2: cmp al, 0x10; add [eax], al; ret;
0x10059997: inc eax; xor [esi+0x3B], dl; ret;
0x100467d1: or [bx+di], edx; add dh, dh; ret;
0x10121fbf: add [edx+0x68], dl; dec eax; ret;
0x100e2322: dec esi; pop es; add dh, dh; ret;
0x100669fa: add al, 0x00; add [ebx], bh; ret;
0x100979f2: sbb al, 0x13; add [eax], al; ret;
0x100129c6: adc al, 0x00; add esp, 0x08; ret;
0x1011876d: nop; nop; nop; xor eax, eax; ret;
0x10040e12: and al, 0x05; add [eax], al; ret;
0x1010ef7e: adc al, 0x20; add [eax], al; ret;
0x10028512: pop eax; das; add [eax], al; ret;
0x10010841: add al, 0x33; sar [ebx], cl; ret;
0x10141522: mov eax, edx; add esp, 0x08; ret;
0x100767f2: rcl [edx], 1; add [eax], al; ret;
0x10023062: cmp al, 0x01; add [eax], al; ret;
0x100cdc78: ror [edi], 1; xchg eax, ebp; ret;
0x10140107: xor bl, [esi+0x5D]; pop ebx; ret;
0x10068fd7: mov ah, 0x1D; adc [edx], bh; ret;
0x1015361a: or [eax], ch; add [eax], al; ret;
0x10072da8: adc al, 0x15; add [eax], al; ret;
0x10012154: or al, [eax]; add [eax], al; ret;
0x1011fe82: and al, 0x04; add [eax], al; ret;
0x1011fe62: sbb al, 0x03; add [eax], al; ret;
0x100fb1e4: pop ds; adc al, ch; dec edi; ret;
0x10029468: adc al, 0x35; add [eax], al; ret;
0x100909e2: sbb al, 0x04; add [eax], al; ret;
0x1012ffbf: xor eax, eax; add esp, 0x18; ret;
0x1010e935: add al, 0x00; add esp, 0x0C; ret;
0x100712f2: mov al, 0x15; add [eax], al; ret;
0x1007cb44: add [ecx], 0x00; add al, ch; ret;
0x10133e95: push ss; adc [edi-0x18], dl; ret;
0x10028192: sub al, 0x04; add [eax], al; ret;
0x10130c67: rep movsb; pop edi; pop esi; ret;
0x1010adee: or [esi-0x18], edx; inc ecx; ret;
0x10029388: sub al, 0x35; add [eax], al; ret;
0x1014d857: sbb [edi+0x5E], bl; pop ebx; ret;
0x10072e32: sub al, 0x15; add [eax], al; ret;
0x1013689a: add al, 0x5E; add esp, 0x0C; ret;
0x10030672: push 0x00000012; add dh, dh; ret;
0x10129d9d: adc [edi+0x5B], bl; pop esi; ret;
0x101249f5: cmp [edi+0x5E], bl; pop ebx; ret;
0x100113c2: mov word [ebp+ebx+0x10], fs; ret;
0x100bb422: rcr [eax], 1; add [eax], al; ret;
0x100244c2: mov ah, 0x13; add [eax], al; ret;
0x1012b208: mov ah, 0xB1; adc dl, [eax]; ret;
0x10141371: mov eax, ecx; add esp, 0x08; ret;
0x100237d2: xor al, 0x03; add [eax], al; ret;
0x10072fd2: add al, 0x2C; add [eax], al; ret;
0x100677df: enter 0x0000, 0x00; pop esi; ret;
0x1001e992: xchg [ebx], edx; add dh, dh; ret;
0x1002ebc2: test [edx], edx; add dh, dh; ret;
0x1006a2e8: cmp al, 0x05; add [eax], al; ret;
0x10149ff1: sub [ecx], al; add [eax], al; ret;
0x100fe7e0: add [eax], al; add esp, 0x10; ret;
0x100443dc: add [eax], al; add esp, 0x14; ret;
0x10093a1c: mov [esi+0x20], eax; pop esi; ret;
0x10125e8c: add [eax], al; add esp, 0x30; ret;
0x100ee11d: add [eax], al; add [ebx], bh; ret;
0x1012b410: inc ecx; mov [eax+0x58], ecx; ret;
0x1007a196: add [eax], al; or edi, [ebx]; ret;
0x100bb502: insb; dec ebp; add [eax], al; ret;
0x1006ceda: mov eax, 0x00000001; pop esi; ret;
0x10132ae2: mov [eax+0x18], ebx; pop ebx; ret;
0x1010f02f: adc [eax], dl; add [eax], al; ret;
0x1012398b: add [eax], al; add esp, 0x38; ret;
0x10149b42: pop ebx; add esp, 0x00000128; ret;
0x10141b9c: mov eax, 0x00000001; pop ebp; ret;
0x10126018: mov [eax], al; add [eax], al; ret;
0x10111ea7: add al, [eax]; add [ebx], bh; ret;
0x100ee8fd: add [eax], ah; add [eax], al; ret;
0x10071282: test al, 0x05; add [eax], al; ret;
0x10125582: pop ebx; add esp, 0x00000090; ret;
0x1006cf08: mov [esi+0x34], eax; pop esi; ret;
0x1011fe22: xor al, [edi]; add [eax], al; ret;
0x100ba2e7: pop esi; add esp, 0x00000208; ret;
0x1004c6d2: pop esi; add esp, 0x00000104; ret;
0x1014db01: pop ebx; add esp, 0x00000400; ret;
0x1010e08a: pop esi; add esp, 0x00002108; ret;
0x100bb1f1: push ds; adc al, ch; inc edx; ret;
0x1012878a: pop esi; add esp, 0x00000118; ret;
0x10093a96: pop ebx; add esp, 0x00005018; ret;
0x1013f566: pop ebx; add esp, 0x000000E0; ret;
0x10011c7d: and eax, ebx; mov ax, 0x23A6; ret;
0x10065955: mov eax, 0x00000001; pop ebx; ret;
0x100712b2: test al, 0x15; add [eax], al; ret;
0x10097e07: mov [esi+0x28], eax; pop esi; ret;
0x100108df: pop ebx; add esp, 0x00000228; ret;
0x10076822: mov [edx], dl; add [eax], al; ret;
0x10133b8a: pop ebx; add esp, 0x00000080; ret;
0x10128cbb: add [eax], al; add esp, 0x08; ret;
0x100b02c4: pop ebx; add esp, 0x00000124; ret;
0x100115f3: mov eax, 0x00000088; pop esi; ret;
0x10151d1f: lds ebx, [edi+0x5D]; pop ebx; ret;
0x10011711: mov eax, 0x00000089; pop esi; ret;
0x100e23c2: test al, 0x12; add [eax], al; ret;
0x1011436e: pop ebx; add esp, 0x0000020C; ret;
0x1016061b: imul edi, edi, 0xFF; pop ecx; ret;
0x1012b50b: les eax, [eax+0x5F]; pop esi; ret;
0x10122f09: add [eax], al; add esp, 0x48; ret;
0x101190b8: add [eax], al; add esp, 0x28; ret;
0x10130c94: in eax, dx; pop edi; pop esi; ret;
0x100e6054: and al, 0x54; add [ebx], edi; ret;
0x100f6ed1: add [eax], al; add esp, 0x18; ret;
0x1012a7e1: add [eax], al; add esp, 0x0C; ret;
0x1014dcc0: add eax, 0x5E5FED72; pop ebx; ret;
0x100befd8: add [eax], al; add bh, [ebx]; ret;
0x100647fd: pop ebx; add esp, 0x00002124; ret;
0x1014db71: or eax, [eax]; add [eax], al; ret;
0x1009cd38: pop ebx; add esp, 0x00002004; ret;
0x1014c2b8: mov eax, 0x0000000E; pop ebx; ret;
0x10068a4c: mov eax, 0x00000001; pop ecx; ret;
0x1012f90b: pop esi; add esp, 0x0000012C; ret;
0x100115d9: mov eax, 0x00000085; pop esi; ret;
0x101356fe: mov eax, 0xFFFFFF9A; pop ebx; ret;
0x1012878d: sbb [ecx], al; add [eax], al; ret;
0x101580ea: pop esi; mov [eax+0x14], ecx; ret;
0x10046b09: or [eax], eax; add [ebx], bh; ret;
0x1014c470: mov eax, 0x00000008; pop ebx; ret;
0x10124ae4: push es; mov eax, 0x00000001; ret;
0x10044e6f: pop ebp; add esp, 0x00000208; ret;
0x10157c68: mov eax, 0xFFFFFFFC; pop ebx; ret;
0x100b9f82: add [eax], al; add esp, 0x34; ret;
0x100fb8e3: pop ebx; add esp, 0x0000010C; ret;
0x100609a2: and [eax], bl; add [eax], al; ret;
0x10011557: mov eax, 0x00000070; pop esi; ret;
0x100364d6: and al, 0x58; add [ebx], edi; ret;
0x100115bf: mov eax, 0x00000068; pop esi; ret;
0x10071172: adc [ebx], al; add [eax], al; ret;
0x10021603: pop esi; sbb eax, 0xE8CD8B10; ret;
0x100fd63f: adc [ebx], dh; sar [ebx], cl; ret;
0x1004561c: inc ecx; add [ecx+0x3A], eax; ret;
0x10012937: add [eax], al; add esp, 0x70; ret;
0x1008baa2: add [eax], dl; add [eax], al; ret;
0x10154116: mov eax, [esi+0x08]; pop esi; ret;
0x10136ba7: add [eax], al; add [eax], al; ret;
0x100355ec: add [eax], al; or [ebx], edi; ret;
0x1014c2fd: mov eax, 0x00000011; pop ebx; ret;
0x1001165b: mov eax, 0x00000086; pop esi; ret;
0x1012ef89: pop esi; mov [ecx+0x04], edx; ret;
0x10072382: dec ebp; push cs; add dh, dh; ret;
0x1001011d: add [eax], al; add esp, 0x50; ret;
0x10150e95: push es; mov eax, 0x00000002; ret;
0x10133ec8: pop ebx; add esp, 0x00000084; ret;
0x10099532: fmul qword [ebx]; add dh, dh; ret;
0x10129fb5: push esi; sub [edx-0x18], dl; ret;
0x1013b7eb: mov [eax], dl; add [eax], al; ret;
0x10132af0: mov [edx+0x18], ebx; pop ebx; ret;
0x101591ab: add [eax], al; nop; nop; nop; ret;
0x10150e97: add al, [eax]; add [eax], al; ret;
0x10011c78: and eax, ebx; mov ax, 0x23A5; ret;
0x100ccbe4: adc al, [eax]; add [ebx], bh; ret;
0x10133874: xor al, al; pop edi; pop esi; ret;
0x10136e46: pop esi; add esp, 0x0000009C; ret;
0x1006adac: push [ebx]; fstp tword [ebx]; ret;
0x10014732: xor [edx], al; add [eax], al; ret;
0x100e9102: int3; pop ecx; add [eax], al; ret;
0x1012a233: pop esi; add esp, 0x000000BC; ret;
0x10157dfc: mov eax, 0xFFFFFFFE; pop esi; ret;
0x100708dd: pop ebx; add esp, 0x00000120; ret;
0x101516d6: add [eax], al; add esp, 0x04; ret;
0x100115a5: mov eax, 0x00000067; pop esi; ret;
0x1011429a: pop ebx; add esp, 0x00000208; ret;
0x1008b1e5: push ds; adc al, ch; dec esi; ret;
0x10029292: ficom word [edx]; add dh, dh; ret;
0x10011641: mov eax, 0x0000006A; pop esi; ret;
0x10024432: test al, 0x03; add [eax], al; ret;
0x1004d4cf: les ecx, [eax]; xor eax, eax; ret;
0x100116a9: mov eax, 0x0000006B; pop esi; ret;
0x1006c6cd: push es; mov eax, 0x101D5518; ret;
